Date,btc_log_return,s&p_log_return,gold_log_return,usd_log_return
2020-03-11,0.00021498848832735007,-0.05010289280860558,-0.010725720864527943,0.001036683392819704
2020-03-12,-0.4647301753397741,-0.09994485240247286,-0.03225585264372555,0.009897998819149656
2020-03-13,0.11268622219754576,0.08880840694923542,-0.047416352203101475,0.013046752908227432
2020-03-16,-0.07264505770911889,-0.12765219747281709,-0.01985668052992029,-0.006706016539184567
2020-03-17,0.041245525670191796,0.05822631263569189,0.02590818443844789,0.015075972359765544
2020-03-18,0.002448204386068298,-0.05322227233208032,-0.03171271975140133,0.015742098401111626
2020-03-19,0.16710432424961397,0.004696760970401392,0.0008795472315563657,0.015692735027299953
2020-03-20,0.0012244500086868726,-0.04432762405336721,0.0036454671159331653,0.0005836906290763721
2020-03-23,0.09578323765146379,-0.02973150100957689,0.05442181862869511,-0.0032146716591352487
2020-03-24,0.04844470857364058,0.08968323251796306,0.05777508425392419,-0.007344693602504115
2020-03-25,-0.008011559939721025,0.0114689904208225,-0.016947954536260745,-0.006805044347558464
2020-03-26,0.005281211361417348,0.06054383107424677,0.010845784249569945,-0.01626219180094335
2020-03-27,-0.03741337669931255,-0.03426784554162676,-0.016005198817997446,-0.010617374803561397
2020-03-30,0.08226844860278604,0.032966590569975196,-0.0011707228298982741,0.008200476692379333
2020-03-31,0.0013681074096147938,-0.01614231078841577,-0.024085506519266886,-0.001311580183141814
2020-04-01,0.025777803165675905,-0.04514636273278683,-0.0032895230082807814,0.0062399066533576075
2020-04-02,0.027888755965960854,0.02257265705696021,0.029653536057228536,0.005103860367552393
2020-04-03,-0.008906283829347217,-0.015252860825945014,0.004908888939362477,0.003984877973031153
2020-04-06,0.06838401551364903,0.06796824414483105,0.026159131678807235,0.001093065225506784
2020-04-07,-0.013201383140758693,-0.0016043390483631015,-0.007301457414060408,-0.007076314612808332
2020-04-08,0.02173462611620991,0.033489371191285144,0.00036032405214925234,0.0013992944349991987
2020-04-09,-0.004373997983961431,0.014383470303699575,0.041633439372849246,-0.006010898736851011
2020-04-13,-0.018247903368067142,-0.010156059444677012,0.004941175038212897,-0.0017096416204172016
2020-04-14,-0.00038135085635992994,0.03011455957230691,0.006797057351607627,-0.0046408385293315035
2020-04-15,-0.029712937076682877,-0.022276732672368738,-0.016935449293475457,0.005747428971737634
2020-04-16,0.06902911272643486,0.005799837839541411,-0.003944735829988666,0.005714584712107396
2020-04-17,-0.0029015210954828063,0.026440932021320585,-0.0183018209467809,-0.0025023785947739796
2020-04-20,-0.043707892619057276,-0.018042845615347858,0.007313955384595339,0.001802346608869243
2020-04-21,-0.00023764284804528302,-0.031155115236330744,-0.013847209197883181,0.0029967363344498565
2020-04-22,0.033849812461733464,0.022671300582136844,0.029647891342730937,0.0012957614813666751
2020-04-23,0.042973347176261,-0.0005395676601960275,0.002657481434712672,0.00039837582030788354
2020-04-24,0.016178084496425882,0.013822090566839584,-0.005670027160958213,-0.0004980135789969253
2020-04-27,0.014957356048027393,0.014606868181735955,-0.00675322791480415,-0.003392841703910854
2020-04-28,0.0014686626299020844,-0.005256170190484077,-0.0008181536244569187,-0.0017007474044152815
2020-04-29,0.11984140644428898,0.026236704045073722,-0.004159457378130504,-0.0030084564215595577
2020-04-30,-0.01632197818592296,-0.00925514331905486,-0.011335623435517306,-0.0055390953033516155
2020-05-01,0.023536910446569692,-0.02846021101477625,0.0060970674430942395,-0.0022241803896463352
2020-05-04,0.0017052718293886215,0.004240822578849723,0.007291162026341169,0.006859017037953663
2020-05-05,0.010093566989645808,0.008999935197779863,-0.0014657171235512578,0.0023093109787888366
2020-05-06,0.029084126239824926,-0.00700388039904265,-0.011922512345884151,0.003803780983961502
2020-05-07,0.07107536685466265,0.0114389557548904,0.022079638978609317,-0.0020001702089409434
2020-05-08,-0.01099854717229043,0.016730795065226012,-0.00693538005000871,-0.0016030063598266864
2020-05-11,-0.017817356616017577,0.00013306936679136072,-0.008575158426649132,0.005100721202659919
2020-05-12,0.02328939648252515,-0.020713365772047965,0.005353411843932676,-0.0030973453490608094
2020-05-13,0.0515216067309936,-0.01761699662428029,0.005558332693372137,0.0030973453490608094
2020-05-14,0.048814308336528,0.011458917804072044,0.014021058879757575,0.0022918983474946586
2020-05-15,-0.0425545413366315,0.003918675203722799,0.008764225555300875,-0.0006969651685233558
2020-05-18,0.005757095071523111,0.031015208770073244,-0.012395415869612236,-0.0072975118474332135
2020-05-19,0.00025318046802702554,-0.010539747711598935,0.007134611589603601,-0.0030144257249693496
2020-05-20,-0.021407053865040382,0.016513990613415075,0.0036626025539083784,-0.0025190198526710006
2020-05-21,-0.04743978112005287,-0.007803968309953113,-0.01734362611469109,0.0025190198526710006
2020-05-22,0.011039704675422257,0.002350945686812267,0.008161878938070188,0.0049189263013120765
2020-05-26,-0.008103063993219806,0.012214285021459936,-0.01732899474964178,-0.009558828408124498
2020-05-27,0.0384109712226941,0.014718447490315256,0.0032209918291323802,0.001515319737948495
2020-05-28,0.03686071480897368,-0.0021101393249196576,0.0017525415832908564,-0.006888199065259393
2020-05-29,-0.00913557886418559,0.0048007935523077805,0.013680565277693013,-0.00040667870457333777
2020-06-01,0.07198931640233752,0.003744216478363427,0.000518044386692118,-0.005199527558490402
2020-06-02,-0.0647494748028361,0.008177307282400292,-0.007277016031961736,-0.0016368664740111782
2020-06-03,0.01322969499089588,0.013556670812562288,-0.016009633407297663,-0.004001025042514428
2020-06-04,0.014793539385651755,-0.0033743890836088752,0.01235124147390465,-0.00618684667767333
2020-06-05,-0.013881075272664134,0.025874012821637038,-0.025155268002861497,0.00268569661010698
2020-06-08,0.001294060354382509,0.01196965640580494,0.013098481927345418,-0.003306468049043332
2020-06-09,0.002474647666023344,-0.007829743419721424,0.009610330246712984,-0.0031098091607431044
2020-06-10,0.007565917007305245,-0.0053272557351817795,-0.0008167458702272867,-0.003744549961382404
2020-06-11,-0.05715571914128326,-0.060752692996288715,0.010855446283994041,0.007992198467841938
2020-06-12,0.016919583790143022,0.012976286605210774,-0.0015600795547294766,0.006080887880907326
2020-06-15,0.00678586233768641,0.008277860818175498,-0.005218007981163453,-0.006597955787687404
2020-06-16,0.009197339368025581,0.018784852866710722,0.005391431183017659,0.002891953886846821
2020-06-17,-0.006075177257296005,-0.0036067962326296055,-0.00023130821343642083,0.002060628946820131
2020-06-18,-0.007242643975011731,0.0005940434038027576,-0.002547715531949102,0.0026723677574223004
2020-06-19,-0.013243316204146538,-0.0056655135656740185,0.012159065950263503,0.002050909011518165
2020-06-22,0.0364203993156309,0.006474093296658268,0.006166825249584562,-0.005959144524114279
2020-06-23,-0.001977301049160829,0.004298169191484291,0.008728248980421682,-0.003613264325043275
2020-06-24,-0.03337092327378066,-0.02619526559566232,-0.003561397084781426,0.004746181784583747
2020-06-25,-0.0052530814953222205,0.010899827728216849,-0.0020976074000182976,0.002877983039636156
2020-06-26,-0.011059043986902495,-0.024525204274830514,0.005884713686692855,0.0007182034342942956
2020-06-29,0.005156696867222976,0.01457888811353314,0.0012967886103742998,0.0004101816642787526
2020-06-30,-0.005768117633966341,0.015292349435755526,0.010202426588476143,-0.001539029962058791
2020-07-01,0.009836784692076606,0.0050095639758716,-0.011104398270962434,-0.0019528496363134806
2020-07-02,-0.011433924918010874,0.004530970476816165,0.006072237805784475,0.0012338347098168612
2020-07-06,0.03269036405452752,0.015756930832163007,0.0025192455591174223,-0.005460822159623291
2020-07-07,-0.01322747502849353,-0.010877477869643215,0.008739973459877426,0.0009293782745833923
2020-07-08,0.018849585054621087,0.0077969862634308384,0.006243658695440857,-0.004655711207452562
2020-07-09,-0.016076772716191456,-0.005659591476195658,-0.009018817348082742,0.002796011213190397
2020-07-10,9.051613040611528e-05,0.010411809774444336,-0.0005559571095261617,-0.0005171494582070224
2020-07-13,-0.00355135786885441,-0.009406645216058607,0.0070930414866312574,-0.0019678162924536835
2020-07-14,-4.331631390286361e-05,0.013317300582903258,-0.0002209103260355505,-0.0020755190823020797
2020-07-15,-0.0054650618081169,0.009041056936354153,0.0004417718614782018,-0.0018716892379275762
2020-07-16,-0.0066149394632759595,-0.003411915214114103,-0.007035885831272459,0.0028061821942095833
2020-07-17,0.0020964170070048027,0.0028445625875832548,0.0053230498055762965,-0.004264357502404614
2020-07-20,-0.0023526855605595642,0.008371797255140478,0.004194021617198729,-0.0011472140581449963
2020-07-21,0.02272657241900866,0.0016776293345603932,0.014487856747344985,-0.007436526205549576
2020-07-22,0.01592346743118611,0.00573063059447243,0.011709267020526326,-0.0015782161490163205
2020-07-23,0.005831453188376301,-0.012396378412246278,0.013322162460929654,-0.002952641329870609
2020-07-24,-0.004621806400933792,-0.006209640024275487,0.00433133636651295,-0.002643685709843524
