,Date,BTC Close,S&P Close,GOLD Close,USD Close
0,2023-05-05,29534.384765625,4136.25,2017.4000244140625,101.20999908447266
1,2023-05-08,27694.2734375,4138.1201171875,2026.300048828125,101.37000274658205
2,2023-05-09,27658.775390625,4119.169921875,2036.199951171875,101.63999938964844
3,2023-05-10,27621.755859375,4137.64013671875,2030.5,101.4800033569336
4,2023-05-11,27000.7890625,4130.6201171875,2014.699951171875,102.05999755859376
5,2023-05-12,26804.990234375,4124.080078125,2014.5,102.68000030517578
6,2023-05-15,27192.693359375,4136.27978515625,2018.0,102.43000030517578
7,2023-05-16,27036.650390625,4109.89990234375,1988.4000244140625,102.55999755859376
8,2023-05-17,27398.802734375,4158.77001953125,1980.699951171875,102.87999725341795
9,2023-05-18,26832.208984375,4198.0498046875,1956.5,103.58000183105467
10,2023-05-19,26890.12890625,4191.97998046875,1978.699951171875,103.1999969482422
11,2023-05-22,26851.27734375,4192.6298828125,1974.800048828125,103.1999969482422
12,2023-05-23,27225.7265625,4145.580078125,1972.4000244140625,103.48999786376952
13,2023-05-24,26334.818359375,4115.240234375,1962.800048828125,103.88999938964844
14,2023-05-25,26476.20703125,4151.27978515625,1943.0999755859373,104.20999908447266
15,2023-05-26,26719.291015625,4205.4501953125,1944.0999755859373,104.20999908447266
16,2023-05-30,27702.349609375,4205.52001953125,1958.0,104.16999816894533
17,2023-05-31,27219.658203125,4179.830078125,1963.9000244140625,104.31999969482422
18,2023-06-01,26819.97265625,4221.02001953125,1978.0,103.55999755859376
19,2023-06-02,27249.58984375,4282.3701171875,1952.4000244140625,104.0199966430664
20,2023-06-05,25760.09765625,4273.7900390625,1958.0,104.0
21,2023-06-06,27238.783203125,4283.85009765625,1965.5,104.12999725341795
22,2023-06-07,26345.998046875,4267.52001953125,1942.699951171875,104.0999984741211
23,2023-06-08,26508.216796875,4293.93017578125,1963.5999755859373,103.33999633789062
24,2023-06-09,26480.375,4298.85986328125,1962.199951171875,103.55999755859376
25,2023-06-12,25902.5,4338.93017578125,1955.300048828125,103.62999725341795
26,2023-06-13,25918.728515625,4369.009765625,1944.5999755859373,103.33999633789062
27,2023-06-14,25124.67578125,4372.58984375,1955.300048828125,103.01000213623048
28,2023-06-15,25576.39453125,4425.83984375,1957.800048828125,102.12000274658205
29,2023-06-16,26327.462890625,4409.58984375,1958.4000244140625,102.3000030517578
30,2023-06-20,28327.48828125,4388.7099609375,1935.5,102.54000091552734
31,2023-06-21,30027.296875,4365.68994140625,1933.300048828125,102.06999969482422
32,2023-06-22,29912.28125,4381.89013671875,1912.699951171875,102.38999938964844
33,2023-06-23,30695.46875,4348.330078125,1919.0999755859373,102.9000015258789
34,2023-06-26,30271.130859375,4328.81982421875,1923.699951171875,102.69000244140624
35,2023-06-27,30688.1640625,4378.41015625,1914.0,102.48999786376952
36,2023-06-28,30086.24609375,4376.85986328125,1912.300048828125,102.91000366210938
37,2023-06-29,30445.3515625,4396.43994140625,1909.199951171875,103.33999633789062
38,2023-06-30,30477.251953125,4450.3798828125,1921.0999755859373,102.91000366210938
39,2023-07-03,31156.439453125,4455.58984375,1921.699951171875,102.98999786376952
40,2023-07-05,30514.166015625,4446.81982421875,1919.5999755859373,103.37000274658205
41,2023-07-06,29909.337890625,4411.58984375,1908.699951171875,103.16999816894533
42,2023-07-07,30342.265625,4398.9501953125,1926.199951171875,102.2699966430664
43,2023-07-10,30414.470703125,4409.52978515625,1925.0,101.97000122070312
44,2023-07-11,30620.951171875,4439.259765625,1931.300048828125,101.7300033569336
45,2023-07-12,30391.646484375,4472.16015625,1956.199951171875,100.5199966430664
46,2023-07-13,31476.048828125,4510.0400390625,1959.199951171875,99.7699966430664
