Date,btc_log_return,s&p_log_return,gold_log_return,usd_log_return
2017-01-03,0.021389344804025434,0.0,0.0,0.0
2017-01-04,0.10096034523200359,0.005705963770549438,0.0029257608917383493,-0.0049536514880665905
2017-01-05,-0.1305752503587252,-0.0007709676024818535,0.013569572279167552,-0.011556296879835948
2017-01-06,-0.11620924119418063,0.0035107891805798985,-0.006633743360060507,0.00687157494264401
2017-01-09,-0.009229224484763598,-0.0035549054715602324,0.009849765856593251,-0.002841059107758781
2017-01-10,0.0053587472913489975,0.0,0.0005912499106308644,0.0007845624615150371
2017-01-11,-0.15447664907682235,0.002825642389102434,0.009580731125188535,-0.0022572594686698366
2017-01-12,0.03422186501689417,-0.0021471123937297776,0.0027563590874688515,-0.004233751324671076
2017-01-13,0.023515097351718417,0.0018481313951461686,-0.0030072493432919956,-0.0016787459625122736
2017-01-17,0.08790389778017538,-0.0029719144562179167,0.013874646895224885,-0.008436340692115074
2017-01-18,-0.02376187851963607,0.0017622004698090166,-0.0005776842959903661,0.005962439086563798
2017-01-19,0.013950027432390044,-0.0036158376243191626,-0.008622907336826913,0.002177368424656656
2017-01-20,-0.004511461114076631,0.0033605840613004645,0.002827229814809762,-0.004061659586943378
2017-01-23,-0.003967041519034709,-0.002693749646070387,0.008845550963396676,-0.005773975197738146
2017-01-24,-0.031237062820324013,0.006543140528962432,-0.0038757736862713443,0.0018951161223963453
2017-01-25,0.00987059326696027,0.007994052795968543,-0.010799240583716951,-0.0031939312430582234
2017-01-26,0.017639684998949967,-0.0007356549352630637,-0.006536011761648197,0.0034928280712227533
2017-01-27,0.0023555870752023367,-0.0008668394897410892,-0.0011776788275987826,0.0014932214097118646
2017-01-30,0.0009631589010199448,-0.006027673496096675,0.004283360803183811,-0.0009952078307149392
2017-01-31,0.05292264278631098,-0.0008903016080328285,0.012823912008577132,-0.0092028073493724
2017-02-01,0.019006132801863806,0.0002983189881167192,-0.0024852966654380637,0.0013055211738457473
2017-02-02,0.022768592259201803,0.0005701468386902775,0.00916488760006029,0.002105360311699833
2017-02-03,0.01774054215906329,0.007238496854554022,0.0014783584034638864,0.0002003231765037583
2017-02-06,0.010467402259395797,-0.00211759751370888,0.00939357530120244,0.0004004496423934967
2017-02-07,0.022101353214739383,0.00022680346384529315,0.003408777957932152,0.0034970157432550053
2017-02-08,0.001619238325925032,0.0006930821486097472,0.0027510532075201155,0.00019942797488159414
2017-02-09,-0.06679373711864844,0.005736063735960251,-0.002022081854818225,0.003682906128902097
2017-02-10,-0.005757777136341957,0.0035597068220090122,-0.0005668768500655119,0.0014892186665944607
2017-02-13,-0.008582726834247545,0.0052321335840117555,-0.008134093816161148,0.0015860038120418807
